"Header","RF","SVM"
">Sequence10125","0.6","0.78"
">Sequence10126","0.4","0.369"
">Sequence10127","0.45","0.232"
">Sequence10128","0.6","0.745"
">Sequence10129","0.55","0.286"
">Sequence10130","0.35","0.361"
">Sequence10131","0.5","0.298"
">Sequence10132","0.45","0.243"
">Sequence10133","0.35","0.652"
">Sequence10134","0.45","0.368"
">Sequence10135","0.55","0.773"
">Sequence10136","0.55","0.729"
">Sequence10137","0.4","0.482"
">Sequence10138","0.35","0.533"
">Sequence10139","0.6","0.442"
">Sequence10140","0.4","0.725"
">Sequence10141","0.45","0.585"
">Sequence10142","0.4","0.749"
">Sequence10143","0.4","0.337"
">Sequence10144","0.4","0.485"
">Sequence10145","0.4","0.68"
">Sequence10146","0.4","0.276"
">Sequence10147","0.35","0.241"
">Sequence10148","0.45","0.59"
">Sequence10149","0.45","0.498"
">Sequence10150","0.45","0.526"
">Sequence10151","0.55","0.291"
">Sequence10152","0.45","0.258"
">Sequence10153","0.35","0.653"
">Sequence10154","0.25","0.13"
">Sequence10155","0.6","0.303"
">Sequence10156","0.25","0.265"
">Sequence10157","0.35","0.838"
">Sequence10158","0.4","0.28"
">Sequence10159","0.4","0.201"
">Sequence10160","0.4","0.81"
">Sequence10161","0.35","0.857"
">Sequence10162","0.6","0.328"
">Sequence10163","0.4","0.236"
">Sequence10164","0.35","0.286"
">Sequence10165","0.55","0.78"
">Sequence10166","0.4","0.09"
">Sequence10167","0.35","0.387"
">Sequence10168","0.35","0.587"
">Sequence10169","0.4","0.152"
">Sequence10170","0.4","0.674"
">Sequence10171","0.4","0.345"
">Sequence10172","0.45","0.756"
">Sequence10173","0.3","0.363"
">Sequence10174","0.55","0.78"
">Sequence10175","0.5","0.798"
">Sequence10176","0.4","0.656"
">Sequence10177","0.45","0.327"
">Sequence10178","0.45","0.566"
">Sequence10179","0.55","0.203"
">Sequence10180","0.45","0.731"
">Sequence10181","0.45","0.788"
">Sequence10182","0.45","0.826"
">Sequence10183","0.55","0.37"
">Sequence10184","0.4","0.274"
">Sequence10185","0.45","0.645"
">Sequence10186","0.35","0.616"
">Sequence10187","0.4","0.669"
">Sequence10188","0.45","0.765"
">Sequence10189","0.45","0.802"
">Sequence10190","0.4","0.401"
">Sequence10191","0.45","0.582"
">Sequence10192","0.4","0.361"
">Sequence10193","0.45","0.819"
">Sequence10194","0.4","0.614"
">Sequence10195","0.45","0.588"
">Sequence10196","0.45","0.294"
">Sequence10197","0.4","0.536"
">Sequence10198","0.5","0.302"
">Sequence10199","0.45","0.409"
">Sequence10200","0.3","0.468"
">Sequence10201","0.4","0.714"
">Sequence10202","0.4","0.395"
">Sequence10203","0.3","0.349"
">Sequence10204","0.5","0.36"
">Sequence10205","0.4","0.787"
">Sequence10206","0.45","0.294"
">Sequence10207","0.4","0.75"
">Sequence10208","0.35","0.674"
">Sequence10209","0.4","0.19"
">Sequence10210","0.55","0.223"
">Sequence10211","0.5","0.791"
">Sequence10212","0.3","0.487"
">Sequence10213","0.5","0.768"
">Sequence10214","0.4","0.206"
">Sequence10215","0.3","0.495"
">Sequence10216","0.25","0.469"
">Sequence10217","0.45","0.661"
">Sequence10218","0.45","0.38"
">Sequence10219","0.4","0.675"
">Sequence10220","0.4","0.664"
">Sequence10221","0.5","0.482"
">Sequence10222","0.45","0.734"
">Sequence10223","0.5","0.596"
">Sequence10224","0.35","0.481"
">Sequence10225","0.4","0.032"
">Sequence10226","0.45","0.782"
">Sequence10227","0.4","0.773"
">Sequence10228","0.35","0.67"
">Sequence10229","0.4","0.15"
">Sequence10230","0.45","0.761"
">Sequence10231","0.45","0.627"
">Sequence10232","0.4","0.425"
">Sequence10233","0.5","0.837"
">Sequence10234","0.45","0.765"
">Sequence10235","0.3","0.428"
